"A acocote nuevo, tlachiquero viejo."
Perro que ladra en barbecho ladra sin provecho.
"Perro que ladra, no muerde."
"Perro que lambe, acaba por sacar sangre."
"Perro que mucho ladra, no muerde pero guarda."
Perro que no anda; no topa con hueso.
"Perro que se traga el hueso, en su gañote confía."
Persona de pocas obras está llena de pretextos.
"Persona muy lunareja, es muy sabia o muy pendeja."
Persona ociosa; no puede ser virtuosa.
"Pesado de pico, ligero de patas."
"Pésames y días, hasta los nueve días."
"Pescador de caña, más come que gana."
"Peso en mano, chivo fuera."
Picado del gallo y aborrecido de las gallinas.
Pide limosna para dar caridad.
Pídele a Dios y a los santos y echa estiércol a tus campos.
Pídole a Dios por los tarugos; para que nunca se acaben.
"Piedra movediza, nunca moho la cobija."
Piedra que rueda no crea moho.
Piensa mal y acertarás.
"Piensan los enamorados, piensan y no piensan bien,..."
...piensan que nadie los mira y todo el mundo los ve.
"Pienso, luego existo, no, yo cago, luego como."
Pies que aprenden a bailar no saben quietos estar.
"Piojos que en España mueren, en México resucitan."
Piquete que va derecho; ni aunque te frunzas.
Platica con el que sepa y juega con el que sepa.
"Platica poblano, mientras te gano."
"Plato de segunda mesa, ni en la otra vida, menos en esta."
"Platos de segunda mesa, solo hechos de tapaderas."
"Poblano: chicharronero, cortabolsas y embustero."
"Pobre de ti cuitlacoche, se acabó tu fantasía."
"Pobre del pobre que al cielo no va, lo friegan aquí y lo friegan allá."
Pobre leña de pirul que no sirve ni pa'rder.
"Pobre México, tan lejos de Dios y tan cerca de Estados Unidos."
"Pobre, pero honrado."
"Pobre, pero honrado, ¡Nunca!."
¿Pobre?; pobre el diablo que no le ve la cara a Dios.
Pobre que compite a ricos siempre se dará de hocicos.
Pobreza no es vileza.
Poca ganancia ahorra mucha pérdida.
Poco a poco hila la vieja el copo.
Poco a poco se anda lejos.
Poco veneno no mata.
Pocos pelos pero bien peinados.
Poderoso caballero es don dinero.
"Podré perdonar la ofensa, pero olvidarla, ¡jamás!."
Político pobre; pobre político.
Político que se quema; quemado se queda.
Pollino que me lleve y no caballo que me arrastre o me eche.
"pollo que se calienta, se quema."
Polvo eres y en polvo te convertirás.
Poquito se me hace el mar para echarme un buche de agua.
Por algo Dios no dio alas a los alacranes.
"Por apretado que sea, no hay culo que no se pea."
"Por cada cien matrimonios, ciento dos arrepentidos."
Por Dios que la tierra tiembla de lo pesado que estoy.
"Por el cielo andan las nubes, de eso si no hay que dudar."
Por el hilo se saca el ovillo.
Por eso las mujeres no dicen misa.
"Por eso los hacen pandos, porque los montan tiernitos."
Por favor te abrazan y quieres que te aprieten.
Por la vereda se saca el rancho.
Por las hojas se conoce el tamal que es de manteca.
Por las vísperas se sacan los días.
Por lo más oscuro amanece.
Por los frutos se conoce el árbol.
"Por más agua que caiga de la alta peña,..."
...no ha de ser blanca la que es morena.
Por matar un perro te dicen mataperros.
Por mi lado no hay portillo: toda la cerca está caída.
"Por mi y el cura, que se coman la asadura."
"Por mucha cena, nunca nochebuena."
Por mucho que haga la vara no podrá llegar a metro.
"Por mucho trigo, nunca es mal año."
Por obra y gracia del Espíritu Santo.
Por oír misa y contar cebada no se pierde la jornada.
¿Por qué con tamal me pagas teniendo bizcochería?
¿Por qué son muchos los diablos y poca el agua bendita?.
"Por turbia que esté; no digas, de esta agua no beberé."
Por un borrego no se juzga la manada.
Por un centavo no se completa un peso.
Por un clavo se pierde la herradura.
"Por una manzana, Adán pervirtió a la especie humana,..."
"...que harán los de Zacatlán, que tienen tanta manzana."
Por uno que salga chueco no todos están torcidos.
Por ver arder la casa del vecino le prenden fuego a la propia.
"Prefiero el meneo de la cola de un perro,..."
...que la falsa cortesía de un hipócrita.
Prefiero oler a unto que a difunto.
"Pregunta lo que no sepas, que el preguntar no te ofende."
Preguntando se llega a Roma.
Presume de gavilán y no llega a zopilote.
Presume de tacón y pisa en el contrafuerte.
"Pretencioso, flojo y vano: mexicano."
"Pretextos quiere la muerte, para llevarse al enfermo."
Prietas; hasta las mulas son buenas.
"Prieto, chaparro y cabezón, de Oaxaca es el cabrón."
"Prieto y trompudo, ladrón seguro."
"Primero con agua, después sin agua y al final como agua."
Primero es comer que ser cristiano.
"Primero es el número uno, después todos los demás."
"Primero es el 1 y después el 2, pero en el 21 el dos se chingó al 1."
"Primero haz lo necesario, después lo voluntario."
Primero la obligación y luego la devoción.
Primero quebrarse que doblarse.
Primero reventar que hacer desaire.
"Prometer hasta meter; que ya metido, se olvida lo prometido."
"Prometer no empobrece, dar es lo que aniquila."
Pronto se arrepiente quien juzga apresuradamente.
"Pueblo chico, infierno grande."
"Puede el peón mudar de dueño, pero no de condición."
"Puede haber vacas mas chichonas, pero no que den más leche."
"Puerta abierta, al santo tienta."
"Puerta que se abre, te llama."
"Puertas que se hinchan y piedras que sudan, señales de lluvia."
"Pulgas, frailes y miseria: Morelia."
Pulgas y gente habladora: Zamora.
"Purgas en abril y mayo, salud para todo el año."
Pusiste tu barbería en la calle de los lampiños.
Que beban agua los bueyes que tienen el cuerno duro.
"Que digan misa, si hay quien se las oiga."
¿Qué es eso? -Rábanos y queso.
Que importa que el bronce gima al son de la campanada.
¿Qué le cuidas a la caña? si ya se perdió el elote.
¿Qué le debo al sol con que me haya calentado?.
"Que les cuadre o no les cuadre, prestar libros ni a su padre."
Que los dioses nos protejan de esas mamás que manejan.
"Que más quiere el sapo, que lo echen al agua."
"Que más quisiera el gato, que lamer el plato."
Que me apedreen en la plaza y que no sepan en mi casa.
"Que pendejo es don Zenón, mató al toro, pa' caparlo."
Qué te andas valiendo de ángeles habiendo tan lindo Dios.
"Que tristes están los campos cuando el sol se va poniendo,"
...así se ven los amantes cundo se están despidiendo.
Que vayan por lo que queda los que gustan de las sobras.
"Querétaro camotero, falso, hipócrita y frailero."
"Quien a cubierto está si llueve, loco está si se mueve."
Quien a Dios clama sabe a quien llama.
"Quien a feo ama, bonito le parece."
"Quien a la pez se llega, algo se le pega."
"Quien a los suyos se parece, no desmerece."
"Quien a los veinte se casa, de veinte y medio no pasa."
Quien a mí escarnece en sus hechos piense.
"Quien a nadie cree, no merece."
"Quien a otro ha de reprender, de vicios ha de carecer."
Quien a otro quiere juzgar en sí debe comenzar.
"Quien a otro quitó la vida, la suya juzgue perdida."
"Quien a pulga llega siendo liendre, da tal picotazo que enciende."
"Quien a putas se da, mucho no vivirá."
"Quien a sí mismo se alaba, en sus méritos se caga."
"Quien a solas se aconseja, a solas se desaconseja."
Quien a su amigo tiene en poco o es valiente o es un loco.
Quien a sus criados regala lo hace en mala hora.
Quien a tiempo huye a tiempo acude.
Quien a tiempo no toma precauciones se queda chiflando en la loma.
Quien a tu casa no va en la suya no te quiere.
"Quien a vil sirve con devoción, vileza saca por galardón."
"Quien acecha por agujero, ve su duelo."
"Quien acomete, vence."
Quien administra tus bienes por suyos es que los tiene.
"Quien agarra la anguila por la cola, bien puede decir que no tiene nada."
"Quien al tigre ausente mata, del ratón presente espanta."
"Quien algo quiere, algo le cuesta."
"Quien alto siega, la mitad de la paja deja."
Quien ama el peligro en él perece.
Quien ama nunca olvida.
"Quien amaga y no da, miedo ha."
Quien anda con muchas romerías nunca se santifica.
Quien anda descalzo sueña con zapatos.
Quien anda en componendas necesita hacer enmiendas.
Quien anda en zancos anda en trancos.
"Quien aprisa sube, aprisa se hunde."
Quien armado va con paz andará.
Quien barbas tiene se entretiene.
Quien bebe amargo no escupe dulce.
"Quien beneficia a los malos, perjudica a los buenos."
"Quien bestia va a Roma, bestia regresa."
"Quien bien ama, bien desama."
"Quien bien ama, bien castiga."
"Quien bien ata, bien desata."
"Quien bien cierra la puerta, duerme a pierna suelta."
"Quien bien come y bien bebe, razón es que carga lleve."
"Quien bien come y bien digiere, solo de viejo se muere."
"Quien bien corta tela, ahorra tela."
"Quien bien está no se mude, aunque sude bien le irá."
Quien bien friega en limpio come.
"Quien bien gane, bien que gaste."
"Quien bien hace a su enemigo, tiene a Dios por amigo."
"Quien bien hiciere, bien espere."
"Quien bien lo hace, para él lo hace."
"Quien bien me hace, ese es mi compadre."
"Quien bien quiere a Beltrán, bien quiere a su can."
"Quien bien quiere, bien castiga."
"Quien bien quiere, bien obedece."
"Quien bien quiere, tarde olvida."
"Quien bien se precave, a todo echa llave."
"Quien bien siembra, bien cosecha."
Quien bien te quiere; te hará sufrir.
"Quien bien tiene y mal escoge, del mal que le venga no se enoje."
"Quien bien trabaja, no hace nada a la caraja."
"Quien bien vive, algo recibe."
Quien boca tiene a Roma va.
"Quien buen oficio sabe, de despensa tiene llave."
"Quien bueyes ha perdido, cencerros s le antojan."
"Quien busca consejo, acertar desea."
"Quien busca la flor, busca el amor."
"Quien busca mejorar, a veces empeora."
"Quien calabazas come, malos cachetes pone."
"Quien calla, ni otorga, ni niega."
Quien calla y obedece; se friega dos veces.
"Quien camina con prisa, en lo más llano tropieza."
Quien canta sus males espanta.
"Quien casa a su hija gana un hijo y quien casa a su hijo, pierde un hijo."
Quien casa con vieja sin dote es un tonto de capirote.
"Quien casa por interés, de su mujer es criado."
"Quien cayó al atolladero, ha de ser buen consejero."
Quien come callado no pierde bocado.
"Quien come con cordura, por su salud procura."
"Quien come la carne, que roa el hueso."
"Quien come la vaca del rey, a los cien años paga los huesos."
"Quien come para vivir se alimenta, quien vive para comer, revienta."
"Quien come y codessa, dos veces pone la mesa."
"Quien compra hecho, ahorra el techo."
"Quien compra sin poder, vende sin querer."
Quien con aguardiente cena; con agua se desayuna.
"Quien con amor trabaja, a otro da ventaja."
"Quien con carbón ha andado, se nota en lo tiznado."
Quien con hambre se acuesta en pan sueña.
"Quien con la esperanza vive, alegre muere."
"Quien con muchachos se acuesta, cagado despierta."
Quien con muchachos se acuesta; que con su pan se lo coma.
"Quien con muchos se ha de entender, mucho juicio ha menester."
"Quien con mujer bella se casa, de su honra se descansa."
Quien con mujeres anda o llora o canta.
Quien con perro se echa con pulgas se levanta
"Quien con tartamudos pasea, antes del mes tartamudea."
"Quien con trabajo gana, con trabajo gasta."
"Quien confunde a buey con vaca, a la hora de ordeñar se desengaña."
"Quien contrata, ata."
Quien crió a su hijo y a su nieto será un asno completo.
Quien cuece y amasa todo le pasa.
Quien cuenta los años; cuenta la muerte.
"Quien cultiva agravios, cosecha enemistades."
"Quien da a los pobres, le presta a Dios."
Quien da a muchos no da mucho.
Quien da barato vende por cuatro.
"Quien da, buena venta hace."
Quien da consejo no pedido pierde el tiempo y el amigo.
Quien da el consejo da el tostón.
Quien da el gasto tiene el mando.
Quien da pronto da dos veces.
Quien da razón del camino es por que lo tiene andado.
Quien da ventaja saca mortaja.
"Quien dádivas prende, su libertad vende."
"Quien de Dios huye, en balde corre."
"Quien de ilusiones vive, de desengaños muere."
"Quien de joven no corrió, de viejo se desbocó."
Quien de joven no trota de viejo galopa.
"Quien de las fiestas quiere gozar, por la víspera debe empezar."
"Quien de lejanas tierras vuelve a casa,..."
"...todo lo aumenta, miente y disfraza."
"Quien de llevar cuentas huye, su casa destruye."
"Quien de los suyos se aleja, Dios lo deja."
"Quien de mano ajena espera, de hambre que se muera."
"Quien de mozo no trabaja, de viejo duerme en la paja."
Quien de mozo no trota; de viejo galopa.
Quien de muchos se quiere aprovechar a muchos habrá de contentar.
"Quien de pleito se libró, gran ventura se labró."
"Quien de prisa lo juzgó, despacio se arrepintió."
"Quien de todos es amigo, es muy pobre o es muy rico."
"Quien de su casa se aleja, no la halla como la deja."
"Quien de traidores se fía, lo sentirá algún día."
"Quien de veras quiere, insista y espere."
Quien de vicios está lleno mira solo los ajenos.
Quien debe a Pedro y paga a Andrés tendrá que pagar otra vez.
Quien debe y paga descansa.
Quien debe y paga no debe nada.
"Quien deja camino por vereda, piensa que ataja y rueda."
"Quien del alacrán está picado, hasta la sombra le espanta."
Quien del juez huye contra sí arguye.
"Quien descubre su secreto, no tiene seso completo."
Quien despierta a can dormido pierde paz y gana ruido.
"Quien desprecia a su enemigo, a sus manos muere."
"Quien desprecia, comprar quiere."
"Quien destaja, no baraja."
Quien dice lo que quiere oye lo que no quiere.
¿Quién dice que no se puede?
"Quien dice mal de la pera, ese la lleva."
"Quien dice pobreza no es vileza, no tiene seso en la cabeza."
"Quien diga de mí, mírese a sí."
Quien dinero tiene alcanza lo que quiere.
"Quien dineros va a cobrar, muchas vueltas ha de dar."
"Quien dos veces tropieza, que se rompa la cabeza."
Quien duda; pregunta.
Quien duerme come.
Quien duerme en el piso; no habrá de caerse de la cama.
Quien echa perros en su cama con pulgas se levanta.
"Quien el aceite muestra, las manos se unta."
Quien el fuego busca; sino se abraza se chamusca.
Quien elige armas riñe con ventaja.
Quien en Dios confía será feliz algún día.
"Quien en la misma piedra dos veces tropieza,..."
...merece que se rompa la cabeza.
"Quien en malos pasos anda, polvos levanta."
"Quien en ruin lugar hace viña, a cuestas saca la vendimia."
"Quien entra a la Inquisición, siempre sale chamuscado."
"Quien enviuda y se vuelve a casar,..."
...tiene cuentas con el diablo y las quiere pagar.
Quien es agradecido es bien nacido.
"Quien es amigo verdadero, lo es en todo tiempo."
Quien es de ocote hasta en el agua se raja.
Quien es ruin en su tierra lo es en la ajena.
¿Quién es tu hermano? el vecino más cercano.
¿Quién es tu vecino? el que es de tu oficio.
Quien escribe; lee dos veces.
"Quien escucha, su mal oye."
"Quien está ausente, todos los males siente."
"Quien está en buena ventura, hasta la muerte le ayuda."
"Quien está en las duras, está en las maduras."
Quien gasta más de lo que puede o roba o debe.
"Quien guarda para otro día, de Dios desconfía."
Quien ha bebido en pocillo no vuelve a beber en taza.
Quien ha de pasar la barca no cuenta jornada.
Quien ha las hechas ha las sospechas.
"Quien habiendo manzanilla bebe cerveza, ha perdido la cabeza."
"Quien habla en común, no agravia a ningún."
Quien habla; paga.
"Quien habla siembra, quien escucha cosecha."
"Quien hace casa, no se casa, la bolsa le queda escasa."
"Quien hace lo justo, duerme a su gusto."
"Quien hace lo que puede, hace lo que debe."
"Quien hace todo lo que quiere, no hace todo lo que debe."
"Quien hace los mandados, se come los bocados."
"Quien hace un cesto hace un ciento, si le dan mimbre y tiempo."
"Quien haga mal, espere tal."
Quien hambre tiene; del pan se acuerda.
Quien hambre tiene en tortillas piensa.
Quien haya de mentir aleje a los testigos.
Quien hiere la campana a su sonido se expone.
"Quien hijos ajenos toma, con su pan que se lo coma."
"Quien hizo el fardo, que lo cargue."
Quien hizo lo de Caín podrá hacer lo de David.
"Quien hoy vive como quiere, mañana vive como puede."
"Quien huye del trabajo, huye del descanso."
"Quien juega con fuego, se quema los dedos."
"Quien juega limpio, limpio se va a su casa."
Quien junto al agua tiene tierra es el primero que la riega.
Quien la sigue la consigue.
Quien la sigue la mata.
"Quien la vergüenza perdió, nunca más la recobró."
Quien las cosas mucho apura no tiene la vida segura.
"Quien las sabe, las tañe."
Quien lava la cabeza al asno pierde el jabón y el tiempo.
"Quien lazo me armo, en él cayó."
"Quien lee y no entiende, el tiempo pierde."
Quien lengua tiene va donde quiere.
Quien ligas regala piernas aguarda.
Quien llega al último se queda al último.
Quien lleva amigos a su casa no se enfade si mal lo pasa.
Quien llora el viernes; reirá el domingo.
"Quien lo coma, que lo escote."
Quien lo de otro quiera que lo suyo pierda.
Quien lo hereda no lo hurta.
Quien lo poco despreció a lo mucho no llegó.
Quien lo suyo reclama a nadie agrada.
Quien lo trague que lo pague.
"Quien lobo nació, lobo murió."
Quien machaca algo saca.
Quien mal adquiere mal tiene.
"Quien mal anda, mal acaba."
"Quien mal cae, mal yace."
Quien mal canta bien le suena.
Quien mal casa siempre llora.
Quien mal casa tarde enviuda.
Quien mal dice mal ha de oír.
Quien mal hizo; bien no espere.
"Quien mal padece, mal perece."
Quien mal paga vuelve a pagar.
Quien mal quiere a los suyos no querrá bien a ninguno.
Quien mal quiere mal espere.
Quien mal quiere mal le quieren.
"Quien mal siembra, mal cosecha."
"Quien mal te quiere te hará reír, quien bien te quiere te hará llorar."
Quien mal tiene en el trasero nunca puede estarse quedo.
Quien malos caminos anda; pronto los zapatos gasta.
"Quien manda, en ruegos no se anda."
Quien manda no ruega.
"Quien más bebe, más sed tiene."
"Quien más hace, más merece."
"Quien más lee, más sabe."
Quien más mete más pierde.
Quien más mira menos ve.
"Quien más no puede, con su mujer se acuesta."
"Quien más sabe, más dudas tiene."
"Quien más tiene, más puede."
"Quien más tiene, más desea."
"Quien más tiene, más quiere."
"Quien más vive, más sabe."
"Quien me da el plan, me da el afán."
Quien me presta me gobierna
"Quien mea y no pee, no hace lo que debe."
"Quien menos goza, menos padecerá."
"Quien menosprecia la vaca, tiene ganas de comprarla."
"Quien mete el hocico en todo, a veces se llena de lodo."
"Quien miente, presto se arrepiente."
"Quien mierda hecha, mierda saca."
"Quien mocos envía, babas espera."
"Quien mucho anda, poco ataja."
"Quien mucho come, poco come."
"Quien mucho come y mucho bebe, hace lo que debe."
"Quien mucho cuenta, algo inventa."
"Quien mucho duerme, lagaña tiene."
"Quien mucho duerme, poco aprende."
"Quien mucho escarba, lo que no quería halla."
"Quien mucho ha padecido, con poco bien se conforma."
"Quien mucho habla, mucho se equivoca."
Quien mucho habla; mucho yerra.
"Quien mucho promete, poco da."
Quien mucho reza; poco ofrece.
"Quien mucho se agacha, las nalgas enseña."
Quien mucho te alaba; te la clava.
"Quien mucho traga, mucho caga."
Quien muerte ajena espera; sea la suya la primera.
"Quien neciamente peca, neciamente se condena."
"Quien necio es en su villa, necio es en Castilla."
"Quien no cae, no se levanta."
"Quien no calla sus defectos, menos calla los ajenos."
"Quien no cree en buena madre, creerá en buena madrastra."
"Quien no da de enamorado, menos da de arrepentido."
"Quien no da de lo que tiene, no pida de lo que ve."
"Quien no da nudo, pierde punto."
"Quien no da pudiendo dar, menos dará no pudiendo."
"Quien no da salud ni dinero, a cuero quemado huele."
"Quien no desea, es rico."
"Quien dice la verdad, ni peca ni miente."
Quien no fuma ni bebe; algún otro vicio tiene.
"Quien no ha hecho vivir a una mujer o a un niño,..."
...no ha llevado nunca una cuerda en la nariz.
"Quien no merienda, a la cena lo enmienda."
Quien no pollea; gallea.
"Quien no parece, perece."
"Quien no pueda andar, que corra."
"Quien no quiera llorar, que no se acuerde."
"Quien no quiere pan de trigo, cómalo de cebada."
"Quien no quiere pan de trigo, que se coma las tortillas."
"Quien no quita la gotera, haga casa entera."
"Quien no sabe de abuelo, no sabe de bueno."
"Quien no sabe de amores, no sabe de ardores."
"Quien no sabe disimular, no sabe gobernar."
"Quien no sabe gozar de la fortuna cuando llega,..."
...no se queje cuando se le pasa.
"Quien no sabe lo que vale, no vale nada."
"Quien no se alaba, de ruin se muere."
"Quien no se levanta temprano, nunca hace el trabajo diario."
"¡Quién no se puede segar, espiga!."
Quien no se sienta con fuerzas que no se meta a cargador.
"Quien no siembra, no cosecha."
Quien no tiene sal; ¿qué puede guisar?.
"Quien no trae soga, de sed se ahoga."
"Quien no tuviera que hacer, arme navío o tome mujer."
"Quien no ve chiquito, no ve grande."
"Quien paga deuda, hace caudal."
"Quien pan menea, pan no desea."
Quien para otro pide; para sí alcanza.
"Quien peces quiere, el rabo se moja."
"Quien pesa y mide, es el que pide."
"Quien pesca un pez, pescador es."
"Quien piense en tomar estado, que piense en el noviciado."
"Quien pierde, regaña."
"Quien piernas tiene, muletas no quiere."
"Quien pluma tiene, de humo se mantiene."
"Quien pobre anocheció y rico amaneció, ¿de dónde lo cogió?"
"Quien poco sabe, pronto lo muestra."
"Quien poco tiene, poco puede."
"Quien poco tiene, pronto lo suena."
"Quien poco tiene y eso da, pronto se arrepentirá."
"Quien por otro ruega, por sí aboga."
"Quien por su gusto se enreda, que se salga como pueda."
Quien predica en el desierto pierde el sermón...
...y quien lava la cabeza del asno pierde el jabón.
"Quien pregunta, saber quiere."
"Quien presta al amigo, cobra al enemigo."
"Quien presto se determina, dúrale el arrepentir."
"Quien primero gana, luego estruja la lana."
"Quien primero viene, primero tiene."
"Quien promete, en deuda se mete."
"Quien puede lo más, puede lo menos."
"Quien puede ser libre, no se haga esclavo."
"Quien puede y no quiere, cuando quiera no podrá."
Quien quiera perder amistades; diga verdades.
"Quien quiera saber el valor de los potros,..."
...que venda los suyos y compre los de otros.
"Quien quiera tratar sólo con gente honrada, debe olvidarse de los tratos."
"Quien quiera vivir en paz, que esté preparado para pelear."
"Quien quiera vivir sano, coma poco y cene temprano."
"Quien quiere el fin, quiere los medios."
"Quien quiere el tronco, quiere las ramas."
"Quien quisiere mujer hermosa; el sábado la escoja,..."
...que no el domingo en la boda.
Quien quita el punto; quita mucho.
"Quien recibe lo que no merece, pocas veces lo agradece."
"Quien refranes no sabe, ¿qué es lo que sabe?"
"Quien regatea, quiere comprar."
"Quien reniega del presente, no merece el porvenir."
"Quien roba a un ladrón, digno es de perdón."
"Quien rompe los platos, los paga."
"Quien rompe una tela de araña, a sí mismo es a quien daña."
"Quien sabe ceder, sabe vencer."
"Quien sabe más, duda más."
"Quien se acostumbra a lo bueno, desprecia lo regular."
Quien se acuesta con una vieja; amanece jubilado.
Quien se adelanta; por la mano gana.
"Quien se apura, hace su vida dura."
"Quien se ausenta, no entra en cuenta."
"Quien se casa por amores, ha de vivir con dolores."
"Quien se case por dinero, se ha vendido por entero."
"Quien se casa, casa quiere."
"Quien se cayo, del suelo no pasó."
Quien se comió la carne; que roa los huesos.
"Quien se conforma con ver, ni siquiera en tentar piensa."
"Quien se cree de más saber, más tiene que aprender."
"Quien se enamora, pone su alma en pena."
"Quien se entrega a la bebida, en poco estima su vida."
"Quien se entrega a la bebida, enemigo es de la vida."
"Quien se excusa, se acusa."
"Quien se pone debajo de la hoja, dos veces se moja."
"Quien se quema, fuego lleva."
Quien se viste de mal paño; dos veces se viste al año.
"Quien siembra en el camino, cansa los bueyes y pierde el trigo."
Quien siembra espinas; no anda descalzo.
"Quien siembra vientos, cosecha (recoge) tempestades."
"Quien siempre miente, nunca me engaña."
"Quien siempre miente, vergüenza no tiene."
"Quien sigue a dos liebres, a ninguna caza."
Quien solo come su gallo; solo ensilla su caballo.
"Quien sólo tenga queso, no ha de comer más de eso."
"Quien su carro unta, a sus bueyes ayuda."
"Quien sus vicios no doma, toma el mal por la mano."
"Quien tarde llega, mal escoge."
"Quien tarde se casa, mal se casa."
"Quien tarde se levanta, todo el día trota."
"Quien tarde se levanta, tarde canta,."
"Quien te aconseja, para sí algo deja."
Quien te avisa; no te engaña.
Quien te castiga te ama.
"Quien te cubre, te descubre."
"Quien te enseñe el bien, te querrá por cien."
"Quien te hace fiestas que no te suele hacer,..."
...o se burla de ti o te ha menester.
"Quien te regala, te compra."
"Quien tema a los balazos, no venga a la guerra."
"Quien teme a Dios, no teme a los hombres."
"Quien teme, mal duerme."
"Quien temprano se levanta, en su trabajo adelanta."
"Quien tenga pito, que pite y el que no, que grite."
"Quien tiene amigo no cierto, tenga un ojo cerrado y otro abierto."
"Quien tiene arte, va por toda parte."
"Quien tiene buena mujer, tiene lo que ha menester."
"Quien tiene caudal, suele dormir mal."
"Quien tiene din, tiene don."
"Quien tiene dineros, hace lo que quiere."
"Quien tiene dineros, pinta panderos."
"Quien tiene dineros, tiene compañeros."
"Quien tiene dolencia, abra la bolsa y tenga paciencia."
"Quien tiene el estómago lleno dice, ayunemos."
"Quien tiene enemigos, no duerme."
"Quien tiene la cabra, ese la mama."
Quien tiene mujer; tiene a quien obedecer.
"Quien tiene oficio, tiene beneficio."
"Quien tiene poco y algo da, no está obligado a dar más."
"Quien tiene rabo de paja, no debe arrimarse al fuego."
"Quien tiene sed, a beber viene."
"Quien tiene un sólo hijo, hácelo tonto..."
"...y quien tiene un sólo puerco, hácelo gordo."
"Quien tiene vergüenza, ni come ni almuerza."
"Quien todo junto lo traga, todo junto lo caga."
"Quien todo lo niega, todo lo confiesa."
"Quien toma, a dar se obliga."
Quien trabaja come y buena ropa se pone.
Quien trata con lobos; traiga el perro al lado.
"Quien tropieza y no cae, adelanta terreno."
"Quien tus tareas ordena, en trabajar no halla pena."
Quien va a pie y tiene burro; más bruto es que el burro.
"Quien va a la guerra, come mal y duerme en tierra."
Quien va al molino; preciso es que se empolve.
"Quien va despacio, llega lejos."
Quien vende al fiado; lo da regalado.
Quien vergüenza siempre tiene: vive flaco y muere pobre.
"Quien viejo engorda, goza doble juventud."
"Quien viene, no tarda."
"Quien vísperas adelante, que empuje, cumpla y se aguante."
"Quien vive de sus costuras, tiene dichas y amarguras."
"Quien vive en compañía, vive con alegría."
"Quien vive entre amor y vino, que no se queje al destino."
"Quien vive para comer, no come para vivir."
"Quien vive pobre pa´morir rico, no parece hombre sino borrico."
"Quien ya no puede ser vicioso, se pregona de ser virtuoso."
"Quien yerra y se enmienda, a Dios se encomienda."
"Quienes se parecen, se juntan."
¿Quieres a tu hijo diablillo?. mételo de monaguillo.
¿Quieres conocer a Andrés?; vive con él un mes.
¿Quieres saber quien es?; vive con él un mes.
¿Quieres ver gordos a tus hijos?; velos con vidrio de aumento.
"¿Quieres verte intoxicado?, entre mayo y agosto come pescado."
"Quiero mucho a tu abuelita, pero de que se muera mi abuelita..."
"...a que se muera la tuya, mejor la tuya."
"Quitando el pedregón, se evita el tropezón."
Quitáronle a la tuerta y diéronle a la ciega.
"Rabanete y queso, tiene la corte en peso."
"Rabillo de mata, a veces mata."
"Ramo corto, vendimia larga."
"Rápido y bien, no ha habido quien."
"Raposa cazadora, raposa trasnochadora."
"Raposa que mucho aguarda, caza aguarda."
"Ratero que se vuelve ojo de hormiga, que Dios lo bendiga."
"Rebuznos de burro viejo, son siempre un consejo."
Recaudo hace cocina y no Doña Catalina.
"Recibos grandes, mal se pagan."
Reconoces al cabestro en la primera potreada.
Recuerda el pasado; vive el presente; confía en el futuro.
"Refajo salido, señal de marido."
Refrán de los abuelos es probado y verdadero.
"Refrán viejo, nunca miente."
Refranes heredados; evangelios abreviados.
"Refranes y cantares, tiene el pueblo a millares."
"Refranes y libros, todos son buenos."
Reina mal el rey y lo paga la grey.
"Reloj, caballo y mujer; tener bueno o no tener."
"Reloj , coche y mujer; nunca se acaban de componer."
"Remiendo nuevo, mal pega en paño viejo."
Reniega de señora que todo lo llora.
Reniega del amigo que cubre con las alas y pica con el pico.
Reniego del árbol que a palos ha de dar fruto.
Repara en casa ajena y hallarás chica tu pena.
Reparte Martín y deja lo más para sí.
"Restriega, restriega, hasta que nada queda."
"Retirarse a tiempo, es de discretos."
Reunión de pastores; ovejas muertas.
"Reunión de zorras, alboroto en el gallinero."
"Rezando, rezando y con el mazo dando."
"Rezar y amar, no son cosas de forzar."
Rezarle a Dios y venderle al diablo.
"Reza, pero no dejes de remar hacia la orilla."
Rica que con pobre se casa; un criado mas tiene en su casa.
Rico eres de bienes; si te bastan los que tienes.
"Rico es el que gasta un peso menos, de lo que gana."
"Rico, simpático y guapo; se casa con mujer de trapo."
"Ricos improvisados, siempre mal juzgados."
"Ricos y viejos, cargue el diablo con ellos."
"Riendo, riendo, el tonto va verdades diciendo."
Riñe cuando debas y no cuando bebas.
"¿Riñen los Mao?, mal para los criados."
"Río y camino, malos vecinos."
"Río, rey y religión, malos vecinos son."
"Riqueza sin compañía, no es alegría."
Risa de perro; nunca de dientes pa'dentro.
Risa liviana; cabeza vana.
"Rodó la tapa, hasta que se encontró su olla."
"Rogado y pagado, dos veces comprado."
"Rogar al Santo hasta pasar el tranco; tranco pasado, santo olvidado."
Roma no se hizo en un día.
"Romero y tomillo, en el campo los pillo."
"Ropa de parienta, no calienta."
"Sábado, saca tu calzón y lávalo."
"Sabe más el loco en su casa, que el cuerdo en la ajena."
"Sabedlo coles, que espinacas hay en la olla."
Saber es poder.
Saber refranes poco cuesta y mucho vale.
Sabes que tienes cabeza porque te pican los piojos.
Sabia virtud de conocer el tiempo; a tiempo amar y desatarse a tiempo.
"Sácale cañas al tercio, aunque se afloje la carga."
